text,label,topic
"In a statement, independent security researchers confirmed quarterly earnings for the cloud division. The update, following a months-long inquiry, follows a routine internal process.",1,technology
You won't believe what secret documents reveal the company dumped toxic waste for decades. Share before this gets DELETED!!!,0,environment
"You won't believe what a leaked contract proves the show was scripted from the start — and wake up, people!!!",0,entertainment
EXCLUSIVE: Whistleblower claims scientists secretly proved the theory is a complete hoax. The truth they buried for YEARS.,0,science
You won't believe what insiders admit the currency will collapse within days. Forward this to everyone you know.,0,finance
"the university's robotics lab clarified quarterly earnings for the cloud division, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,technology
"In a statement, festival organizers released data showing a schedule change for the ceremony. The update, following a months-long inquiry, follows a routine internal process.",1,entertainment
You won't believe what a hidden clause will let the government seize private property overnight. Share before this gets DELETED!!!,0,politics
BREAKING: Leaked documents show scientists secretly proved the theory is a complete hoax. Mainstream media refuses to cover this.,0,science
You won't believe what a leaked lab report shows the vaccine contains untested nanoparticles. This changes EVERYTHING.,0,health
"In a statement, the treasury department released data showing a routine audit of municipal bonds. The update, pending further review, follows a routine internal process.",1,finance
"In a statement, the CDC announced a new study on sleep and memory. The update, though final numbers have not been confirmed, follows a routine internal process.",1,health
"They don't want you to know that officials are quietly funneling millions to an unnamed shell company — and wake up, people!!!",0,politics
"Doctors are FURIOUS after a hidden clause shows the award was bought, not earned — and share before this gets deleted!!!",0,entertainment
"In a statement, the water management board confirmed a seasonal update on reservoir levels. The update, based on a review of public records, follows a routine internal process.",1,environment
You won't believe what your phone is secretly recording every word you say and selling it — and this changes everything.,0,technology
"the awards committee published findings indicating a soundtrack credit correction, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,entertainment
"the ratings agency confirmed a routine audit of municipal bonds, following a months-long inquiry. Officials said further details would be shared once the review is complete.",1,finance
"EXCLUSIVE: Whistleblower claims a banned substance scandal is being covered up by officials — and wake up, people!!!",0,sports
"In a statement, the geological survey outlined a plan to a newly catalogued asteroid. The update, pending further review, follows a routine internal process.",1,science
Doctors are FURIOUS after scientists secretly proved the theory is a complete hoax — and the truth they buried for years.,0,science
"conservation researchers said in a statement a seasonal update on reservoir levels, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,environment
"In a statement, the stadium authority reported the venue for next season's opener. The update, following a months-long inquiry, follows a routine internal process.",1,sports
"In a statement, the players' union confirmed the venue for next season's opener. The update, following a months-long inquiry, follows a routine internal process.",1,sports
"the wildlife agency announced an update to the drought monitor, based on a review of public records. Officials said further details would be shared once the review is complete.",1,environment
"the network outlined a plan to a schedule change for the ceremony, based on a review of public records. Officials said further details would be shared once the review is complete.",1,entertainment
"In a statement, local hospital administrators reported changes to hospital staffing ratios. The update, as part of a routine quarterly update, follows a routine internal process.",1,health
"the geological survey released data showing a new measurement of a distant galaxy's rotation, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,science
They don't want you to know that a secret vote was held at midnight to strip citizens of basic rights. Mainstream media refuses to cover this.,0,politics
"the studio's publicist said in a statement the release date for a documentary, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,entertainment
"Doctors are FURIOUS after players were secretly paid to throw the final match. Wake up, people!!!",0,sports
You won't believe what officials are quietly funneling millions to an unnamed shell company — and this changes everything.,0,politics
"In a statement, the standards committee announced quarterly earnings for the cloud division. The update, though final numbers have not been confirmed, follows a routine internal process.",1,technology
"the state legislature confirmed a proposed increase in the municipal budget, pending further review. Officials said further details would be shared once the review is complete.",1,politics
"the pension fund's trustees reported an update to lending standards, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,finance
"What the mainstream media is HIDING: insiders reveal the star was secretly replaced months ago — and wake up, people!!!",0,entertainment
"In a statement, engineers at the company announced a new accessibility feature. The update, though final numbers have not been confirmed, follows a routine internal process.",1,technology
"In a statement, the players' union said in a statement the venue for next season's opener. The update, based on a review of public records, follows a routine internal process.",1,sports
"In a statement, conservation researchers outlined a plan to a seasonal update on reservoir levels. The update, though final numbers have not been confirmed, follows a routine internal process.",1,environment
They don't want you to know that a banned substance scandal is being covered up by officials — and forward this to everyone you know.,0,sports
EXCLUSIVE: Whistleblower claims engineers discovered the app can control devices without permission — and share before this gets deleted!!!,0,technology
"marine biologists outlined a plan to a refinement to an existing climate model, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,science
"independent security researchers published findings indicating a security patch for a widely used library, as part of a routine quarterly update. Officials said further details would be shared once the review is complete.",1,technology
"the artist's management confirmed a schedule change for the ceremony, pending further review. Officials said further details would be shared once the review is complete.",1,entertainment
"In a statement, local hospital administrators published findings indicating a modest decline in flu cases this season. The update, based on a review of public records, follows a routine internal process.",1,health
"the artist's management reported a schedule change for the ceremony, pending further review. Officials said further details would be shared once the review is complete.",1,entertainment
"They don't want you to know that a suppressed study shows the phenomenon was faked in a lab — and wake up, people!!!",0,science
"In a statement, the university's robotics lab confirmed an update to the app's privacy settings. The update, pending further review, follows a routine internal process.",1,technology
"You won't believe what a leaked contract proves the show was scripted from the start. Wake up, people!!!",0,entertainment
What the mainstream media is HIDING: players were secretly paid to throw the final match — and this changes everything.,0,sports
"market analysts released data showing an upward revision to GDP estimates, though final numbers have not been confirmed. Officials said further details would be shared once the review is complete.",1,finance
