claim,rating,source,explanation
"5G mobile networks cause or spread COVID-19",False,"WHO / multiple fact-checkers","Viruses do not travel on radio waves or mobile networks. COVID-19 spread in countries with no 5G at all. Radio-frequency energy from 5G is non-ionising and far below safety limits."
"Drinking or injecting bleach or chlorine dioxide cures COVID-19",False,"FDA / WHO","Chlorine dioxide (marketed as 'MMS') is industrial bleach. Ingesting it causes severe vomiting, liver failure, and life-threatening low blood pressure. It has no proven benefit for any disease."
"COVID-19 vaccines contain microchips to track people",False,"Reuters / AP","Vaccines contain antigens or mRNA, lipids, salts, and stabilisers. There is no electronic component; a trackable microchip cannot pass through a standard vaccine needle or function without a power source."
"The 1969 Apollo Moon landings were filmed on a sound stage",False,"NASA / independent analyses","Retroreflectors left on the Moon are still used by observatories worldwide. Independent tracking by the Soviet Union, and later lunar imagery from multiple nations, confirm the landing sites and hardware."
"The Earth is flat",False,"Scientific consensus","Ships disappearing hull-first over the horizon, time-zone differences, circumnavigation, satellite imagery, and the physics of gravity all require a roughly spherical Earth. No flat model predicts these observations."
"The Great Wall of China is visible from the Moon with the naked eye",False,"NASA","The Wall is at most a few metres wide and follows the terrain's colour. It is not visible to the unaided eye even from low Earth orbit, let alone from the Moon."
"Vaccines cause autism",False,"CDC / Cochrane reviews","The 1998 study suggesting a link was retracted for fraud and its author lost his medical licence. Dozens of large studies covering millions of children show no association between vaccines and autism."
"Humans only use 10 percent of their brains",False,"Neuroscience consensus","Brain imaging shows activity across virtually the entire brain over the course of a day. Damage to almost any region produces deficits, which would not happen if 90 percent were unused."
"Climate change is a hoax and scientists disagree about its cause",False,"IPCC / peer-reviewed literature","Multiple independent lines of evidence show warming since the industrial era, and studies of the climate literature find roughly 97 percent or more agreement that recent warming is human-caused."
"Lightning never strikes the same place twice",False,"NOAA","Tall structures such as the Empire State Building are struck dozens of times per year. Lightning preferentially hits high, conductive points repeatedly."
"You must wait 24 hours before you can file a missing person report",False,"Police guidance (multiple countries)","There is no mandatory waiting period. Authorities advise reporting immediately, especially for children or vulnerable adults."
"Cracking your knuckles causes arthritis",False,"Peer-reviewed studies","Studies comparing habitual knuckle-crackers with non-crackers find no increased rate of hand arthritis. The sound is gas bubbles collapsing in joint fluid."
"Goldfish have a memory span of only three seconds",False,"Animal-behaviour research","Goldfish can be trained to respond to cues and navigate mazes, retaining learned behaviour for weeks or months."
"Sugar makes children hyperactive",False,"Double-blind trials / meta-analysis","Controlled studies where neither parents nor children know whether sugar was consumed show no effect on behaviour. The belief persists due to expectation bias."
"A penny dropped from the Empire State Building can kill a pedestrian",False,"Physics analysis","A penny's terminal velocity is around 25 mph and its shape makes it tumble. It would sting but lacks the mass and speed to be lethal."
"The COVID-19 pandemic death toll was entirely fabricated",False,"Excess-mortality data","Independent excess-death estimates from many countries, calculated without cause-of-death coding, show millions of deaths above the historical baseline during pandemic waves."
"Microwaving food destroys its nutrients and makes it radioactive",False,"FDA / food science","Microwaves use non-ionising radiation that heats water molecules; it cannot make food radioactive. Nutrient loss is similar to or lower than other cooking methods because cooking times are short."
"Bananas are radioactive enough to be dangerous",False,"Health physics","Bananas contain potassium-40 and deliver about 0.1 microsieverts each — a 'banana equivalent dose' used precisely because it is trivially small and quickly regulated by the body."
"Einstein failed mathematics in school",False,"Biographers / school records","Einstein excelled at mathematics and physics from a young age; he had mastered calculus by 15. The myth may stem from a change in the Swiss school grading scale."
"Chameleons change colour to match their surroundings for camouflage",False,"Zoological research","Colour change in chameleons is mainly driven by mood, temperature, and social signalling, achieved by nanocrystal spacing in skin cells, not by matching backgrounds."
"Reading in dim light permanently damages your eyesight",False,"Ophthalmology consensus","Dim light can cause temporary eye strain and fatigue but does not cause lasting structural damage to the eyes."
"The 'five-second rule' means food dropped on the floor is safe to eat",False,"Microbiology studies","Bacteria can transfer to food on contact, and the amount depends on moisture, surface, and contamination level, not a fixed time window."
"Antibiotics are effective against viral infections such as colds and flu",False,"WHO / CDC","Antibiotics target bacteria and have no effect on viruses. Unnecessary use drives antibiotic resistance."
"Deoxygenated blood in human veins is blue",False,"Human physiology","Blood is always red; deoxygenated blood is dark red. Veins can look bluish because of how light penetrates and scatters in skin."
"Cold weather by itself causes the common cold",False,"Virology","Colds are caused by viruses. Seasonal peaks are linked to more time indoors, lower humidity, and virus stability, not temperature exposure alone."
